location_name,id,postal_code,total_amount,total_80,total_90,total_00,total_20,total_40,jobs_amount,group_name,area,students_amount,old_amount
Finlayson,1,33222,1548,973,1193,1424,1615,2068,2616,Keskinen,1,113,469
Tammerkoski,2,33720,1730,2231,1558,1557,1823,1203,4975,Keskinen,1,192,401
Nalkala,3,33100,3400,4191,3195,3282,3464,2643,4100,Keskinen,1,325,867
Amuri,4,33710,5254,5770,5205,5246,5258,4784,792,Keskinen,1,425,1942
Kaakinmaa,5,33180,2945,2920,2531,2438,3218,2754,2878,Keskinen,1,298,829
Pyynikinrinne,6,33455,1693,1846,1576,1583,1752,1511,796,Keskinen,1,133,410
Särkänniemi,7,32111,873,356,633,586,1028,1228,536,Keskinen,1,82,216
Tampella,8,33222,3743,1775,1805,2191,4579,5014,2409,Keskinen,1,333,820
Jussinkylä,9,33720,1204,1398,1257,1141,1238,980,687,Keskinen,1,119,237
Kyttälä,10,33100,3283,3588,2731,3214,3320,3061,6506,Keskinen,1,359,835
Ratina,11,33710,825,459,342,291,1112,944,2309,Keskinen,1,42,74
Osmonmäki,12,33180,1613,1886,1865,1686,1573,1359,112,Keskinen,1,114,712
Tammela,13,33455,5563,5055,4812,5341,5683,6036,1819,Keskinen,1,631,1713
Tulli,14,32111,1213,1529,1086,1095,1277,879,5459,Keskinen,1,191,145
Kalevanharju,15,33720,2009,63,50,895,2609,3511,2850,Keskinen,1,370,139
Hatanpää,16,33100,2757,102,26,1937,3199,5212,7807,Keskinen,1,221,506
Pyynikki,17,33710,655,226,240,448,766,1005,311,Keskinen,1,55,104
Kalevanrinne,18,33180,1795,1142,825,1347,2036,2312,1712,Keskinen,2,219,260
Liisankallio,19,33455,3313,4515,3571,3348,3294,2183,628,Keskinen,2,426,730
Petsamo,20,32111,3597,5046,3751,3547,3624,2213,1132,Keskinen,2,389,908
Lappi,21,33720,838,786,703,660,934,808,169,Keskinen,2,156,152
Lapinniemi,22,33100,1377,102,2,1026,1566,2591,1637,Keskinen,2,62,840
Kaleva,23,33710,4193,6019,4724,4536,4008,2617,1179,Keskinen,2,530,1160
Järvensivu,24,33180,1331,1661,1334,1308,1343,1015,109,Keskinen,2,152,283
Vuohenoja,25,33455,638,455,620,672,620,828,98,Keskinen,2,39,143
Kauppi,26,32111,38,338,200,119,0,0,7126,Keskinen,2,0,0
Kissanmaa,27,33720,2580,2821,2402,2364,2696,2268,421,Keskinen,2,429,479
Viinikka,28,33100,1350,1731,1456,1424,1310,1023,211,Keskinen,3,124,229
Nekala,29,33710,1068,1666,1241,1180,1008,551,99,Keskinen,3,122,199
Vihioja,30,33180,66,145,67,51,74,0,3534,Keskinen,3,2,11
Jokipohja,31,33455,1952,2762,2387,2115,1864,1224,147,Keskinen,3,200,493
Muotiala,32,32111,1478,0,0,0,2274,2260,180,Keskinen,3,90,111
Uusikylä,33,33720,1312,1684,1376,1413,1258,1016,290,Koillinen,4,104,406
Ruotula,34,33100,1532,1841,1561,1569,1512,1264,187,Koillinen,4,141,427
Huikas,35,33710,1115,1248,1107,1118,1113,996,72,Koillinen,4,87,344
Takahuhti,36,33720,1981,1642,2015,1788,2085,2177,111,Koillinen,4,157,594
Hakametsä,37,33100,814,213,619,775,835,1378,121,Koillinen,4,47,240
Ristinarkku,38,33710,2464,231,532,2456,2468,4850,836,Koillinen,4,266,514
Aakkula,39,33720,461,360,296,317,539,501,68,Koillinen,4,40,94
Messukylä,40,33100,667,652,694,659,671,671,909,Koillinen,4,117,88
Pappila,41,33710,3443,2993,2711,2632,3880,3527,250,Koillinen,4,284,784
Niihama,42,33720,35,43,30,52,21,38,61,Koillinen,5,0,0
Atala,43,33100,3834,180,1862,3682,3916,7450,403,Koillinen,5,323,366
Ojala,44,33710,60,0,0,0,92,92,37,Koillinen,5,7,13
Kumpula,45,33720,604,542,508,539,639,641,53,Koillinen,5,62,117
Tasanne,46,33100,1451,224,1405,1498,1426,2612,135,Koillinen,5,117,212
Olkahinen,47,33710,1861,294,1362,1930,1824,3426,675,Koillinen,5,139,224
Linnainmaa,48,33720,5868,1188,2568,5117,6272,10321,989,Koillinen,6,454,1271
Leinola,49,33100,2193,1286,1994,2449,2055,3205,595,Koillinen,6,206,390
Holvasti,50,33710,2606,448,433,1956,2956,4063,60,Koillinen,6,257,236
Vehmainen,51,33720,1761,1848,1789,1750,1767,1670,1440,Koillinen,6,145,357
Hankkio,52,33100,202,161,203,243,180,263,1283,Koillinen,6,15,48
Turtola,53,33710,686,582,514,645,708,789,332,Kaakkoinen,7,70,70
Viiala,54,33710,1677,949,1275,1556,1742,2348,63,Kaakkoinen,7,156,270
Haihara,55,33710,197,140,112,222,184,278,11,Kaakkoinen,7,16,36
Kaukajärvi,56,33710,11312,6681,7736,9552,12260,15199,941,Kaakkoinen,7,1064,2346
Lukonmäki,57,33710,2824,1405,2738,2824,2824,4142,65,Kaakkoinen,7,337,467
Hallila,58,33710,2753,2,8,3140,2545,5981,152,Kaakkoinen,7,387,269
Hervanta,59,33710,23083,14307,20340,20042,24720,29904,10142,Kaakkoinen,8,3490,4185
Rusko,60,33710,68,92,115,66,69,37,1280,Kaakkoinen,8,9,22
Hervantajärvi,61,33710,32,22,25,39,28,46,4,Kaakkoinen,8,0,0
Härmälä,63,33710,4754,2680,3150,3224,5578,6076,1498,Eteläinen,9,413,783
Sarankulma,64,33710,11,32,29,24,4,0,1919,Eteläinen,9,0,0
Rantaperkiö,65,33710,2498,2714,2222,1863,2840,1990,1906,Eteläinen,9,201,493
Rautaharkko,66,33710,552,845,670,559,548,266,459,Eteläinen,10,45,146
Taatala,67,33710,986,1141,901,828,1071,769,558,Eteläinen,10,107,282
Koivistonkylä,68,33710,1835,1856,1789,1876,1813,1847,257,Eteläinen,10,143,488
Veisu,69,33710,1497,665,1104,1734,1369,2464,193,Eteläinen,10,125,280
Korkinmäki,70,33710,1071,417,423,647,1299,1546,80,Eteläinen,10,80,134
Nirva,71,33710,451,438,405,414,471,450,181,Eteläinen,10,30,95
Lakalaiva,72,33710,32,52,45,37,29,14,483,Eteläinen,11,0,0
Peltolammi,73,33710,3472,3596,3291,3562,3424,3440,176,Eteläinen,11,366,795
Multisilta,74,33710,2411,3713,2883,2375,2430,1112,670,Eteläinen,11,199,514
Vuores,75,33710,176,18,27,21,259,260,334,Eteläinen,11,2,3
Lahdesjärvi,76,33710,22,20,9,11,28,20,1303,Eteläinen,11,0,0
Hyhky,77,33710,3583,710,1568,2804,4002,6135,319,Lounainen,12,282,615
Ylä-Pispala,78,33710,1759,2191,1844,1880,1694,1416,291,Lounainen,12,173,236
Tahmela,79,33710,989,657,838,854,1062,1244,151,Lounainen,12,92,161
Ala-Pispala,80,33710,1056,830,919,1045,1062,1281,91,Lounainen,12,92,250
Santalahti,81,33710,335,189,99,330,338,508,146,Lounainen,12,38,46
Epilä,82,33710,1472,542,605,1128,1657,2284,283,Lounainen,13,116,287
Kaarila,83,33710,1495,990,1238,1417,1537,1960,126,Lounainen,13,110,478
Villilä,84,33710,1062,160,496,884,1158,1889,50,Lounainen,13,60,147
Kalkku,85,33710,3472,2158,2090,2024,4252,4104,893,Lounainen,13,272,528
Rahola,86,33710,3477,3126,2781,2823,3829,3552,1017,Lounainen,13,268,778
Epilänharju,87,33710,906,540,594,764,982,1217,273,Lounainen,14,81,147
Tohloppi,88,33710,2166,1786,1832,1920,2298,2435,137,Lounainen,14,187,493
Haukiluoma,89,33710,1663,592,2247,1906,1532,2680,131,Lounainen,14,108,349
Lamminpää,90,33710,3024,2768,3071,3002,3036,3238,307,Lounainen,14,262,694
Myllypuro,91,33710,1,11,6,14,0,0,1504,Lounainen,14,0,0
Ikuri,92,33710,4322,3848,4010,4420,4269,4867,206,Lounainen,14,376,915
Ristimäki,93,33710,2116,2825,2158,1836,2267,1300,890,Lounainen,14,141,538
Tesomajärvi,94,33710,1345,2363,1759,1490,1267,420,913,Lounainen,14,82,525
Lielahti,95,33710,149,131,105,105,173,148,2355,Luoteinen,15,11,25
Niemenranta,96,33710,18,0,0,0,28,28,4,Luoteinen,15,0,0
Pohtola,97,33710,1345,1314,1346,1320,1358,1359,43,Luoteinen,15,117,246
Lintulampi,98,33710,2414,1408,1319,2346,2451,3492,160,Luoteinen,15,181,458
Ryydynpohja,99,33710,1465,942,1285,1553,1418,2027,63,Luoteinen,15,121,366
Niemi,100,33710,1307,1023,1173,1403,1255,1646,107,Luoteinen,16,128,199
Lentävänniemi,101,33710,4183,5236,5015,4421,4055,3204,157,Luoteinen,16,285,1146
Nurmi,102,33710,379,334,374,339,401,399,144,Pohjoinen,17,29,122
Sorila,103,33710,426,230,251,322,482,578,60,Pohjoinen,17,25,82
Aitoniemi,104,33710,467,238,324,420,492,676,104,Pohjoinen,17,29,105
Kämmenniemi,105,33710,1910,915,1062,1632,2060,2816,233,Pohjoinen,18,132,355
Viitapohja,106,33710,238,170,148,201,258,295,40,Pohjoinen,18,9,73
Polso,107,33710,153,116,121,160,149,197,42,Pohjoinen,19,7,41
Terälahti,108,33710,474,478,413,445,490,465,116,Pohjoinen,19,26,120
Velaatta,109,33710,411,657,499,462,384,199,49,Pohjoinen,19,20,141